cla_id,cla_level1_id,cla_level1_description,cla_level2_id,cla_level2_description,cla_level3_id,cla_level3_description,cla_level1_id,cla_level4_description,cla_level5_id,cla_level5_description,question_id,criteria_id
2.4.3,2.4.3.1,Operational Continuity applied to AO is ad-hoc or non-existent,2.4.3.2,Some Operational Continuity processes for AO have been developed and applied,2.4.3.3,A wide range of Operational Continuity processes for AO have been developed and applied,2.4.3.4,"The organization has developed, controls and ensures continuous  (autonomous) operations in the event of external or internal disrupting events occurring",2.4.3.5,"The organization in collaboration with its ecosystem partners has developed, controls and ensures continuous  (autonomous) operations in the event of external or internal disrupting events occurring",2.4.3,2.4.3
2.4.4,2.4.4.1,Regulatory compliance for Autonomous Operations is ad-hoc,2.4.4.2,Regulatory compliance measures for Autonomous Operations are inconsistently applied,2.4.4.3,A wide range of regulatory compliance measures for Autonomous Operations are generally applied,2.4.4.4,The organization has a regulations compliance strategy in place as part of its Governance Framework as it applies to Autonomous Operations.,2.4.4.5,The organization in collaboration with its ecosystem partners has a regulations compliance strategy in place as part of its Governance Framework as it applies to Autonomous Operations.,2.4.4,2.4.4
2.4.5,2.4.5.1,Security & Risk management processes for AO are ad-hoc and rely on individual initiatives and corrective actions,2.4.5.2,Some basic Security & Risk management processes for AO have been developed and are implemented. ,2.4.5.3,"A Security & Risk Management framework, with processes and policies has been adopted or developed, and applied across the  organization but with minimal verification, monitoring or improvement policies.",2.4.5.4,The organization has a Security & Risk Management strategy for AO in place as part of its Governance Framework. Security & Risk Management is well managed with active monitoring and synchronization of applications and systems enabled by information and technology architecture.,2.4.5.5,"The organization in collaboration with its ecosystem partners has a Security & Risk Management strategy for AO in place as part of its Governance Framework. 
The organization adjusts promptly to new security requirements and risks, resolving security risk management challenges.

Feedback from Security & Risk Management processes, KPIs and metrics are leveraged to drive security and risk performance improvements.",2.4.5,2.4.5
2.4.6,2.4.6.1,Adoption of best practices is ad-hoc,2.4.6.2,Some best practices for AO have been identified and applied,2.4.6.3,A wide range of best practices for AO have been identified and are being applied,2.4.6.4,The organization actively investigates and encourages the use of best practices for AO ,2.4.6.5,The organization and its ecosystem partners actively investigate and encourage the use of best practices for AO,2.4.6,2.4.6
2.5.1,2.5.1.1,"Sustainable Value Generation through AO has not yet been considered within the organization	",2.5.1.2,The organization has started to achieve some ad-hoc sustainable value generation through AO,2.5.1.3,The organization ensures that most of the value generated through AO is sustainable,2.5.1.4,The organization is generating sustainable value through AO by going beyond regulatory compliance and energy conservation,2.5.1.5,The organization in collaboration with its ecosystem partners is generating sustainable value through AO by going beyond regulatory compliance and energy conservation,2.5.1,2.5.1
2.5.2,2.5.2.1,Sustainable Development has not  been considered within the organization,2.5.2.2,The organization has started to commit some ad-hoc sustainable investments,2.5.2.3,The organization ensures that most investments it commits to are sustainable,2.5.2.4,"The organization assesses current and potential impacts and opportunities of AO with regard to sustainable development, and adapts its investing policies and allocation of financial resources accordingly.",2.5.2.5,"The organization in collaboration with its ecosystem partners assesses current and potential impacts and opportunities of AO with regard to sustainable development, and adapts its investing policies and allocation of financial resources accordingly.",2.5.2,2.5.2
2.5.3,2.5.3.1,There is little to no formalized approach to incorporating ecological and social awareness into the development and implementation of AO-based solutions for the organization,2.5.3.2,Ecological and social awareness are being considered and integrated into some aspects of the development and implementation of AO-based solutions.,2.5.3.3,There is a clear and defined approach to incorporating ecological and social awareness into the development and implementation of AO-based solutions for the organization.,2.5.3.4,"The impact of incorporating ecological and social awareness into the development and implementation of AO-based solutions is being measured and tracked, allowing for continuous improvement.",2.5.3.5,"Ecological and social awareness are fully integrated into all aspects of the development and implementation of AO-based solutions, and there is a clear understanding of the environmental and social impact of these solutions on the organization and its stakeholders.",2.5.3,2.5.3
3.1.1,3.1.1.1,"The organization is making some efforts in adopting autonomous intelligent systems.

It recognizes the existence of an early stage formulation of autonomously intelligent systems and operations' capabilities.",3.1.1.2,"There are some isolated cases of autonomously intelligent systems and processes implemented.

The organization identifies the improvements required and conceives the plans to realize such improvements.",3.1.1.3,"There is a coordinated approach towards adopting autonomous intelligence in systems and operations.

This approach is executed across multiple parts/areas/groups/functions of the enterprise",3.1.1.4,"There is a coherent organization-wide implementation of autonomous intelligence technology across the enterprise.

The organization is using this technology to achieve competitive advantage.",3.1.1.5,"Autonomous intelligence is used across the organization and its ecosystem.

Best practices, standards and advancement of autonomous operations adoptions is achieved.

Intelligence is human-like, e.g. systems are capable of defining new processes while the operational flow is adjusted accordingly.",3.1.1,3.1.1
3.1.2,3.1.2.1,"Manual and ad-hoc processes defined for data preparation, model development, training, evaluation, testing, and deployment.

Supervised learning and data labeling is used.

Some analysts assist features are included in the models.

Basic security practices are followed, e.g., encryption.",3.1.2.2,"There are isolated cases where advanced learning processes are used.

Data streaming is integrated. ML and data modeling processes are defined.

No evaluation is taking place.

A security program is used in some automated functions like response actions and policy enforcement, but the analyst remains engaged due to the prevalence of false positives and negatives.",3.1.2.3,"Outcomes are captured and monitored against the performance (feedback) of the models.

There are clear guidelines for model training, and deployment.

Improved security through high-fidelity security detections, autonomous hunting, triage, investigations and response.

An analyst is a necessity and can take control at any time.",3.1.2.4,"Models are applied on the live data and reflected back in the use case.

They are capable of training themselves based on the outcome.

They are consistent and accurate.

The analyst focuses on defining and controlling security policies that are then enforced by the technolog",3.1.2.5,"The system chooses the right model and predicts the required outcomes.

ML models are continuously optimized (self-healing, self-configuring, etc.).

Technology defines and enforces security policies.

The analyst can override these autonomous policies.",3.1.2,3.1.2
3.1.3,3.1.3.1,CLA is low state. Discrete task level automation is used.,3.1.3.2,There are isolated cases where activity-level workflows are used.,3.1.3.3,"There is a coordinated approach towards automating end-to-end processes across multiple parts/areas/groups of the enterprise.

This level of automation takes into account the value stream of value-realizing stakeholder e.g. a complete functional process that takes into account value delivered to a customer.",3.1.3.4,"There is a coherent organization-wide adoption of implementing automated end-to-end processes across the enterprise.

This level of automation takes into account the value chain of the enterprise with cross-functional end-points integrated for stakeholder value delivery, e.g. a cross-functional process that supports a customer based on operational journeys.",3.1.3.5,"Automation of end-to-end process groups is implemented across the enterprise and its ecosystem.

This level of automation takes into account the value fabric, which may span multiple organizations working together to create an ecosystem.",3.1.3,3.1.3
3.1.4,3.1.4.1,Intent Management technologies and information objects are poorly established and processing is reactive.,3.1.4.2,"Intent Management automation technologies are used in isolated cases.

Intent Management technologies and information management objects are characterized by domains.",3.1.4.3,"There is a coordinated approach towards Intent Management automation across multiple parts/areas/groups/functions of the enterprise.

Intent Management technologies and information management objects are characterized for the organization with reactive learning and improvement.",3.1.4.4,"There is a coherent organization-wide adoption of implementing intent across the enterprise.

Intent Management automation technologies and information management objects are measured and controlled.

Preemptive learning and improvement is used.",3.1.4.5,"Intent Management automation is implemented across the enterprise and its ecosystem.

Intent Management technologies and information management objects focus on continuous improvement with self-adaptation and self-learning for improvement.",3.1.4,3.1.4
3.1.5,3.1.5.1,"Functions and systems are poorly integrated.  Integration appears ad-hoc or local without use of standardised communication.

Silo level. No formal integration strategy. Vendor-specific APIs to enable integration from system A to system B to support department-specific requirements.",3.1.5.2,"Functions or domains/business units have begun to support open and standardised integration technology. AO initiatives are still applied locally.

Information and processes are still fragmented.",3.1.5.3,"he organization mandates the use of open and standardised integration technology. AO initiatives are applied across functions or business units e.g. order-to-activation, bill-to-payment, service delivery and assurance.

Managed integration and orchestration is used.

Functionalities of the integrated systems are reusable and provided as a service when needed.

The organization uses modern integration platforms, APIs, standard interfaces, and best practices",3.1.5.4,"Standardised integration technology is used globally within the organization covering AO value streams end-to-end.

The organization is using metrics to measure AO interoperability and integration.

AI-driven integration capabilities are used.",3.1.5.5,"The organization and its partners mandate the use of open and standardised integration technology. AO value streams are defined and deployed across the ecosystem, successfully.

Integration is a strategic differentiator and core competency of the organization.

There is continuously optimized organization-wide integration strategy with rapid adoption of emerging integration technologies and continuous experimentation.",3.1.5,3.1.5
3.1.6,3.1.6.1,"Simulation management is at experimental stage, e.g. DT4DI, and not fully developed.",3.1.6.2,"Simulation management is domain specific, e.g. DT4DI, and developed producing some concrete results.",3.1.6.3,Simulation management is crossing multiple domains or functions and it is supported organizationally-wide.,3.1.6.4,"Simulation management is supporting an AO process, end-to-end.",3.1.6.5,Simulation management is supporting a process across the ecosystem.,3.1.6,3.1.6
3.2.1,3.2.1.1,"AO solution design approach is mainly reactive, managed ad-hoc on a project basis.

Business engagement processes exist, although still manual and poorly integrated into the solution delivery life cycle.",3.2.1.2,Solution Architecture is well-defined but still needs more structure as well as a systematic approach.,3.2.1.3,"The organization has a coordinated approach in building the Solution Architecture using a dedicated team, structure, and the required processes for managing business engagement for the AO initiative.",3.2.1.4,"The organization has established a Solution Architecture practice at the corporate level that can align AO initiative to business strategy, objectives, and constraints (e.g., costs) by continuously monitoring and improving AO initiative(s).
",3.2.1.5,"The organization is capable of applying its Solution Architecture practices across its ecosystem.

It is capable of implementing a Solution Architecture in accordance to best practices, leading to improved efficiency and valued outcomes.",3.2.1,3.2.1
3.2.2,3.2.2.1,"Use of open and standardized integration technology is ad-hoc.

Vendor specific APIs are used to enable integration between systems, supporting department specific requirements with no integration of processes, or technologies.

Manual and time-consuming custom development is used.",3.2.2.2,"Some functions or domains/business units have begun to support open and standardized integration technology.

Some systems are being implemented and integrated following the SOA principles.

However, information exchange is not automated. Information and processes are fragemented.",3.2.2.3,"The organization mandates the use of open and standardized integration technology for its AO across functions or business units e.g. order-to-activation, bill-to-payment,  service delivery and assurance.

SOA is used to enable multiple systems integration.

Functionalities of integrated systems are provided as services. Such services interoperate across multiple functions, domains or business units.",3.2.2.4,The organization is continuously monitoring and improving its Integration Architecture and service design processes by synchronizing applications and systems.,3.2.2.5,"The organization and its partners mandate the use of open and standardized integration technology for their AO globally.

A continously optimized ecosystem-wide integration framework is enabled based on an agile and dynamic architecture blueprint.",3.2.2,3.2.2
3.2.3,3.2.3.1,"No formal or centralized approach for approaching performance or scalability related issues, e.g. per project basis.",3.2.3.2,Performance or capacity related issues are managed reactively.,3.2.3.3,"Performance or capacity problems or risks detected are analyzed, reported, and mitigated before they have a negative impact on the operations.

Standardized tools are used proactively to discover usage patterns.
",3.2.3.4,"Advanced tools and processes are used to predict future needs required to deliver a service including prediction of usage patterns, the impact of growth and changes to the infrastructure or workloads.",3.2.3.5,"The organization is at value stage with intelligent digital mechanisms used to map and improve technology service processes and capabilities in alignment with the overall business objectives. It leverages decision support to provide continous improvement, incrementally scale and evolve infrastructure services in an agile mode.",3.2.3,3.2.3
3.2.4,3.2.4.1,"The organization lacks a systematic approach towards a security architecture and service design.

No standards are used.",3.2.4.2,The organization has started applying standards in security architecture developments in some parts of the operations.,3.2.4.3,The organization has a well-defined security architecture with structure and standardized processes.,3.2.4.4,"The organization is continuously monitoring and improving its security architecture and adopts changes, best practices, and metrics.",3.2.4.5,The organization has established a security architecture center of excellence. It ensures collaborative security design with responsive development lifecycle management and shared metrics across the ecosystem.,3.2.4,3.2.4
3.3.1,3.3.1.1,"Skills are limited. For example, people do not have the ability to develop SRE.

In human-machine collaboration, man has the leading role.

Awareness and execution are assisted by system. Actions of awareness, execution and intent/experience can be online recorded and traced.

Part of manpower can be saved, and more manpower can be focused on analysis and decision.",3.3.1.2,"A data-driven process is used for upskilling/recruitement.

Machine takes repetitive tasks, e.g. bots. The system provides simple and repetitive batch processing capabilities for task execution. Execution is automated. Some awareness and analysis functions can be accomplished for certain scenarios based on static (human predefined) rules/policies.

Part of manpower can be saved from simple and repetitive work on data collection, pre-processing and analysis.",3.3.1.3,"There is high degree of specialization.

Machines are fully on-duty. For example, the system dynamically and automatically detects real-time network status, changes, and exceptions, and provides automatic decision-making capability in simple scenarios.

Awareness, execution, and most analysis are automated. Scenario decoupled common rules/policies/AI models which can be dynamically updated.

Some automatic decision-making can be achieved under human predefined rule/policy.

Organizational processes are optimised cross-functionally, along AO value streams, due to performing human-machine collaboration.",3.3.1.4,"Machines are self-adaptable. Based on the intent, the system has the self-adaptive closed-loop processing capability in specific scenarios.

Awareness, analysis, decision, and execution are automated, intent/experience driven closed-loop control can be accomplished for certain scenarios under human supervision in emergency situations.

Most of the manpower can be focused on expert experience, AI model management, and novel or unsupported scenarios.

Metrics are used to measure the degree of automation.

Human-machine collaboration advances across AO value streams.",3.3.1.5,"Machine self-evolution. The system is capable of self-learning and self-evolving for new scenarios, achieving complete autonomy in all scenarios.

Awareness, analysis, decision, execution and intent/experience are autonomous.

The whole autonomy mechanisms including expert experience and model management can be auto-evolved for all scenarios.

Manpower is only needed to generate intent and monitor the system progress and status.

Human and machine efficiently collaborate, creating innovation across the ecosystem.",3.3.1,3.3.1
3.3.2,3.3.2.1,"Using some basic tools (e.g. AI algorithms, open APIs) to support AO initiatives. Such tools are used in specifc domains and in an ad-hoc manner.

No tools' automation.",3.3.2.2,"Using tools with some automation, but not fully integrated across applications.",3.3.2.3,"There is high degree of automation of tools used for AO initiative(s) support.

The approach is efficient, and projects are delivered faster with higher quality.",3.3.2.4,"Advanced tools with self-X capabilities (automatic design model, automatic parameter adjustment, automatic training, automatic deployment) are used for models creation and application (self-governed tools).

Tools regularly measure and track the effectiveness of the models created.
",3.3.2.5,"A highly optimised and sophisticated process based on self-X (healing, configuring, etc.) tools for the developement, evaluation and orchestration of models (self-governed tools) is used for automation. The organization regularly innovates and improves this process. They have a strong focus on developing cutting-edge systems for automation.",3.3.2,3.3.2
3.3.3,3.3.3.1,"The organization is defining connectivity resources which support AO in a limited way.

Routing:Running on the second layer (network layer) of the 7-layer network model?communication only through MAC addressing, but only within the same conflict domain.Technology such as DHCP and shared connections provided by  Windows  is used here.

Wireless: use basic digital voice services and GPRS data to achieve basic digital communication, with voice and SMS as the main services, and can support low-speed data services.",3.3.3.2,"Connectivity resources for AO are in an emerging state.

Routing:Running on the third layer (network layer) of the 7-layer network model.  Data or packet is transmitted through IP addresses and routing protocol. Including Static routing and Dynamic routing protocol(RIP, OSPF, ISIS and other types)

Wireless: support voice services,  high-quality multimedia services(web pages,  images, videos, multimedia )
",3.3.3.3,"Connectivity resources for AO perform well.

Routing:SDN (software define network),using the openflow protocol , separating the control plane from the forwarding plane,realizing the flexible control of network traffic, making the network more intelligent.

Wireless: realize high-speed data services, video services have been booming.Tiktok, Youtube and other video services have begun to explode;",3.3.3.4,"Connectivity resources for AO are in an advanced state.

Routing: Enhanced SDN,extending existing protocols, balance between centralized control and data forwarding, providing the ability for rapid interaction between the network and upper level applications.

Wireless:   control and bearer separation, massive mimo, small cell, D2D, IOT, and slicing network?entering the era of Internet of Things",3.3.3.5,"Connectivity resources for AO are in a leading state.

Routing:edge computing nodes, cloud computing nodes and various network resources  are deeply integrated together for collaboration, providing customers with overall computing services including computing, storage and connectivity, and providing flexible and schedulable on-demand services according to business objective.

Wireless: deep integration of communication technology, information technology, Big data technology, AI technology and control technology,like a huge distributed neural network, integrating communication, perception, computing and other capabilities, deeply integrating the physical world, biological world, and digital world, truly ushering in a new era of ""Internet of Things"".",3.3.3,3.3.3
3.3.4,3.3.4.1,"Virtualization technology for AO is at initiating state.

Physical servers move from mainframe to mini, from mini to X86 architecture.",3.3.4.2,"Visrtualization technology for AO is at emerging state.

Through virtualization technology (kvm?Xen?Vmware) and abstract physical machines, provide multiple virtual machines, and adopt SOA application architecture.",3.3.4.3,"Vistualization technology for AO performs well.

Configuration of computing, storage, network, and other resources required for virtual machine startup is performed using virtual machine management software (openstack).",3.3.4.4,"Virtualization technology for AO is at an advanced state.

Containerize, abstracting the OS, and providing multiple application environments. Configure and manage the application environment, and adopt microservices application.",3.3.4.5,"Visrtualization technology for AO is at leading state.

Using serverless architectures, involving developement and running applications without the need to manage underlying resources such as servers.

Independent deployment through fully automated deployment mechanisms.",3.3.4,3.3.4
3.3.5,3.3.5.1,"AO infrastructure is at initiating stage.

For example, low pressure oil engine, air-cooled air conditioning, traditional Layer 2/3 switches and routers are used in the Data Center.

Basic surveillance of the Power and Environment monitoring is performed.",3.3.5.2,"AO infrastructure is at emerging stage.

For example, high pressure oil engine, water-cooled air conditioning, traditional Layer 2/3 switches and routers are used in the Data Center.

Automated surveillance of the Power and Environment monitoring is used.",3.3.5.3,"AO infrastructure is at advancing stage.

For example, high pressure oil engine and water-cooled air conditioning with natural cooling are used for the Data Center. The machine room includes new air conditioning terminal, high density and high bandwidth data center switches, BA linked with the power and environment monitoring system,  data center visual management.",3.3.5.4,"AO infrastructure is at performing stage.

For example, high voltage direct current supply, high pressure oil engine, water-cooled air conditioning with natural cooling are used.The machine room includes new air conditioning terminal. The CLOS network architecture meets the high traffic east-west interaction between PODs within the data center. The DCIM system has been put into large-scale use.",3.3.5.5,"AO infrastructure is at leading stage.

For example, high voltage direct current supply, high pressure oil engine, indirect evaporative cooling and liquid cooling system. SDN architecture is used. Digital twin technology dynamically displays data operation indicators. The BA system's operation logic is controlled through AI modeling, to minimize PUE parameter.",3.3.5,3.3.5
3.3.6,3.3.6.1,"Internet connected computers are used.

The entire world is connected.

Computing models such as parallel computing, distributed computing, and grid computing are used.",3.3.6.2,"Computing virtualization technology is introduced.

Enterprise IT applications are decoupled from underlying infrastructure, and resource utilization is improved through virtualization cluster scheduling software. ",3.3.6.3,"Standardized infrastructure services and resource scheduling automation software for cloud resource pool management planes, such as openstack is introduced.

Technologies such as software defined storage and software defined networks are used, trying to achieve one click fully automated resource management services for tenants.",3.3.6.4,"The cloud native concept is introduced along with integration and development of technologies such as containers, service grids, microservices, and DevOps.

Application architecture of enterprise IT applications gradually shifts from vertically scalable application layered architecture to distributed stateless architecture.",3.3.6.5,"The organization is using a combination of cloud computing, edge computing, big data, and artificial intelligence technologies.

Forming a multi-layer and three-dimensional architecture of cloud, edge, and terminal collaboration, a new generation of intelligent computing power networks is introduced.",3.3.6,3.3.6
3.3.7,3.3.7.1,"Rely on traditional wireless communication technologies, such as Wi Fi and Bluetooth. The communication between devices is mainly point-to-point, and the communication protocol is relatively simple. Focus is on device connectivity and basic data transmission.",3.3.7.2,"Advanced network protocols and technologies are used. New Low-Power-Wide-Area-Network (LPWAN) technologies are widely used, such as LoRa and NB IoT. These technologies have longer communication distances and lower power consumption, making them suitable for large-scale IoT device connections.
",3.3.7.3,"Both wired and wireless technologies are used. The connection scale has exploded. Edge computing is at emerging state, pushing computing and data processing capabilities to the edge of devices, which can reduce the delay and bandwidth consumption of data transmission, and improve the response speed and efficiency of IoT applications.",3.3.7.4,"Intelligent technologies, such as Software Defined Network (SDN) and Network Function Virtualization (NFV) are used to achieve flexible configuration and management of network resources, higher automation and intelligence capabilities.",3.3.7.5,"Integrated IoT network, edge computing, cloud computing and other network resources.  Flexibly schedule and provide on-demand services and capabilities of connectivity, computing, and storage.	",3.3.7,3.3.7
3.4.1,3.4.1.1,"Ad-hoc or undefined capability identification (project planning, risk assessment, etc.).

Manual mapping of business requirements to functional/technology/service capacities.

Little or no consistency between AO initiatives.

No AO related Metrics.

Low AO project success rate.
",3.4.1.2,"The organization is using a primitive form of process for translating validated business requirements into AO use case requirements, functional and technical capabilities.

The process is partially defined and operates in silo leading to inconsistency in the translation of business requirements across the organization.

Business requirements are mapped to technology service capabilities through basic tool sets and processes.

Project planning processes are defined and applied to some critical functions.

Feasibility report or business case development are used only on big AO projects.

Risk assessment is used only on big AO projects.
",3.4.1.3,"There is a formal/established process for translating validated business requirements into use case roadmap and functional/technical/operational/service requirements.

This process is well-defined and consistently applied across the organization with clear understanding of the potential outcome of the AO use cases within the organization.

AO project management procedures are well-defined and documented.

AO project managers are aware of the project control processes and are able to track cost, timings and overall progress of the AO initiative.

Risk assessment is well-computed.",3.4.1.4,"AO initiative goals and use cases are linked to organizational performance objectives.

An advanced process for managing the evolution of AO value streams in line with business expectations and agreed service levels is used.

The process is continuously optimized based on feedback and data-driven insights.

A dedicated team is responsible for managing the AO service portfolio.

AO project planning process is advanced and standardized across the organization.

Well-defined metrics to track and control AO project performance.

Risk is evaluated in every step of the process.

Dashboards are used in some cases, to gauge AO performance.",3.4.1.5,"AO use case evolution is continuously optimized across the ecosystem.

AO use cases and capability requirements are mapped across the organization and linked to the ecosystem strategy with measurable objectives.

Dedicated testing and evaluation is used to optimize AO use cases.

AO initiative investment is continously optimised across the ecosystem.

The processes are fully integrated and seamless across all parts of the organization and its ecosystem.

AO project planning process takes into account the risks involved, by using feedback from parties in the organization and its ecosystem.

AO project metrics are benchmarked to industry standards.

Consolidated dashboards that allow both push alerts and real-time access to KPIs through various devices are used.",3.4.1,3.4.1
3.4.2,3.4.2.1,"No clear versioning or best practices are used for the AO initiative project and the related SW and HW components' development.

No formal process for managing AO technology and the respective architecture deployment.

Capacity and integration requirements are managed through stand-alone and siloed, unformal processes.

Ad-hoc methods are used for testing.

Results are not repeatable.

Quality assurance is missing.

Risk management relies on individual initiatives and corrective actions.
Operationalization of traditional software may be in place, though AO components the process is ad-hoc and partial.

No version control.

Unclear or partially defined roles and responsibilities.

No formalized escalation paths.

Limited capability to assess the impacts of changes on business processes and stakeholders.

Change Management doesn't handle the needs and risks of the AO components, or the process is ad-hoc.

Each deployment is managed individually, leading to inconsistencies and a lack of interoperability.

Different Monitoring & Event Management systems are used, causing difficulty to provide the root of the problem.

No intelligence (AI/ML) is used.

SLAs are addressed reactively.

Basic tools and ad-hoc processes are used to address incidents and problems. No metrics, KPIs, SLAs & OLAs to measure the efficiency, and effectiveness of the AO processes.

Support for problems encountered is provided in an ad-hoc and undocumented manner with multiple and unconsolidated service desks tools.

Risk Management is minimal and reactive.",3.4.2.2,"Version control and code review and artifacts for the AO initiative and the related SW and HW components are used in a continuous improvement strategy.

Business engagement processes are manual and not fully integrated into the solution delivery life cycle.

Capacity management is reactive. The organization is beginning to align capacity management strategy with other technology strategies e.g. data strategy.

Experimentation is performed using basic testing methods and techniques.

Basic governance and risk management processes are implemented. Awareness of regulatory and compliance considerations is limited.
",3.4.2.3,"A well-defined technology design and development process is in place, including versioning, best practices, and standards. The process is integrated with other SW and HW design and development processes.

Capacity management is proactive.

Performance of the AO initiative, SW and HW components is controled, managed and forecasted using AI.

Proactive risk management is executed but with minimal verification.

Automation of security and compliance checks.

Structured processes ensure trustworthiness and explainability in AI systems. Regular audits are performed to identify and rectify issues.
",3.4.2.4,"The organization has a mature development capability, with advanced tools for automating and optimizing the design and development process of the AO initiative.

A Configuration Management System (CMS) provides a complete and detailed view of AO initiative sub-components, dependencies, and environments (e.g., ML Training environment).

The compute strategy is well defined.

Predictive capacity planning is used.

Shared metrics are used across the ecosystem. AO components are actively measured and managed with respect to their performance, using data-driven insights and automation to improve processes and capabilities.

Risk management is well managed with active monitoring and synchronization of applications and systems enabled by risk information and technology architecture.

There is continuous monitoring of ML components and services in Production.

Robust compliance and ethical considerations according to best practices are used to ensure trustworthy AO.",3.4.2.5,"The organization operates with a world-class design, development and training capability, with cutting-edge tools and technologies for automating and optimizing design and development processes.

An architecture center of excellence is used.

It continuously innovates and experiments with new techniques and technologies to push the boundaries of what is possible with AO.

It continuously refines AO technology life-cycle management based on feedback and data analysis.

Automated capacity management processes and tools are used for AO infrastructure optimization, availability and performance improvement, scalability, cost savings, and environmental impacts.

Proper ML-based evaluation metrics are selected to provide optimised results, addressing the relevant business needs.

Security problems are addressed effectively by using feedback from risk management process KPIs and metrics.

Transparent and comprehensive reporting on risks is provided to stakeholders.

Internationally recognized certifications and benchmarks are applied.

Systems are trustworthy, explainable, highly adaptable, and ethical, contributing to business success and societal well-being.",3.4.2,3.4.2
3.4.3,3.4.3.1,"Operationalization of traditional software may be in place, though AO components the process is ad-hoc and partial.

No version control.

Unclear or partially defined roles and responsibilities.

No formalized escalation paths.

Limited capability to assess the impacts of changes on business processes and stakeholders.

Change Management doesn't handle the needs and risks of the AO components, or the process is ad-hoc.

Each deployment is managed individually, leading to inconsistencies and a lack of interoperability.

Different Monitoring & Event Management systems are used, causing difficulty to provide the root of the problem.

No intelligence (AI/ML) is used.

SLAs are addressed reactively.

Basic tools and ad-hoc processes are used to address incidents and problems. No metrics, KPIs, SLAs & OLAs to measure the efficiency, and effectiveness of the AO processes.

Support for problems encountered is provided in an ad-hoc and undocumented manner with multiple and unconsolidated service desks tools.

Risk Management is minimal and reactive.

3.4.3.2	",3.4.3.2,"Configuration Management for AO components is defined, though siloed.

The AO components (algorithms, datasets, training cycles, data pipelines, infrastructure components, etc..) are baselined and stored in Configuration Management (CM) repositories though still decentralised, incomplete and not entirely accurate.

The organization is starting to re-engineer the Change Management process to manage changes at scale.

Limited roles and responsibilities.

Digital intelligence is used to select service design changes. Manual impact assessment of service changes is performed.

Tracking and managing the dynamic and continuous changes to AI/ML models is challenging.

Proactive identification of issues with dedicated monitoring of some systems and components.

Anomaly detection exists but manual root-cause analysis is used by correlating multiple data sets across multiple systems.

There is some structured reaction to problem management (events triggering, recurring incidents, failed change, end-user or process owner complaints) but the process is still reactive.

Support is still on-demand and reactive.

Policies, processes, and standards are defined for risk and security management at a consistent level across some functions.",3.4.3.3,"A clear strategy for continuous improvement and deployment of AO initiatives is followed.

The process is consistently followed across AO projects, and any deviations are documented and reviewed.

There is visibility and classification of events as well as correlation of alerts to identify root causes and recommendations for remediation.

ML is adopted into the workflows.

Identification of root cause of issues occur during AO processes is predictive. Recommendations for faults are available combined with SLA information.

Proactive Problem Management exists based on ML training. Intent-driven interactions may generate incidents and problems to investigate and solve.

Automated Testing of AO processes is used.

Change control and quality control are used in Configuration Management.

There is a digital change governance structure though manual escalation paths.

Roles, and responsibilities are formalized.

Digital intelligence is used to design and simulate AO changes with partially automated impact assessment.

Service Management is proactive. AO process and data asset problems are predicted by analyzing trends and automating repetitive tasks and remedial actions.

Policies and standards are defined for security and risk management and embedded in processes across most functions.",3.4.3.4,"The Depl?yment and Production process is continuously improved based on data-driven feedback, and there is a culture of accountability for meeting standards.

Collaborative use of best practices in AO configuration and  change processes is applied across domains.

Escalation is automated.

Real-time control of the AO components in production environments with high transparency and shared metrics.

Simulation-based monitoring techniques using event corellation are applied to simulate the outcomes of AO systems and components to control and predict their behavior and performance.

Use of AI/ML automation and cognitive technologiesis applied to identify possible root causes before the occurrence of incidents.

A well established AO management strategy and processes is used, in alignment with the business.

Service desk is accessible across multiple channels with a single view of the end user.

Customer experience metrics are tracked along with Service Level Agreements (SLAs) / availability measurements and reporting/dashboard visualization to improve AO service delivery.

Policies and standards are defined for risk and security management and embedded throughout all processes within the organization.",3.4.3.5,"Configuration Management process is self-governed, taking the appropriate corrective actions as required.The process is continuously improved.

Automated escalation across the organization and its ecosystem partners is applied.

Monitoring techniques are based on the principle of digital twin.

e2e measurement exists to measure and control the monitored AO components, the related events, their impacts as well as the activities and workflows triggered by those events.

Innovation is achieved across AO technologies.

Self-healing Problem Management is applied. There is continuous improvement on problem resolution of AI-driven AO services through feedback loops.

AO Service Desk is used only for cases that self-healing cannot resolve.

Policies and standards are defined for risk and security management, and embedded throughout all processes within the organization and with ecosystem partners for continuous feedback and improvement.",3.4.3,3.4.3
